iter	Passed	Remaining
0	236	236200
1	294	146791
2	346	115268
3	402	100098
4	459	91465
5	514	85217
6	566	80341
7	617	76619
8	669	73729
9	722	71497
10	771	69388
11	822	67693
12	872	66274
13	928	65371
14	989	64963
15	1047	64425
16	1104	63888
17	1163	63474
18	1220	62997
19	1273	62409
20	1327	61904
21	1383	61493
22	1443	61305
23	1496	60871
24	1550	60480
25	1604	60123
26	1662	59911
27	1717	59618
28	1768	59200
29	1817	58766
30	1871	58510
31	1924	58226
32	1978	57987
33	2028	57627
34	2077	57289
35	2127	56964
36	2176	56650
37	2226	56371
38	2276	56086
39	2326	55841
40	2379	55660
41	2431	55467
42	2485	55314
43	2537	55141
44	2591	54995
45	2642	54795
46	2694	54642
47	2745	54460
48	2797	54291
49	2850	54158
50	2901	53986
51	2954	53870
52	3005	53705
53	3057	53562
54	3109	53431
55	3160	53284
56	3213	53161
57	3265	53039
58	3315	52877
59	3366	52739
60	3414	52562
61	3464	52410
62	3513	52263
63	3562	52103
64	3612	51970
65	3663	51844
66	3716	51760
67	3768	51655
68	3822	51576
69	3883	51596
70	3945	51621
71	3999	51546
72	4055	51501
73	4116	51506
74	4174	51490
75	4230	51438
76	4284	51353
77	4335	51249
78	4385	51132
79	4440	51065
80	4491	50962
81	4543	50865
82	4595	50770
83	4649	50704
84	4701	50609
85	4754	50533
86	4808	50462
87	4859	50362
88	4910	50263
89	4962	50173
90	5017	50115
91	5069	50036
92	5121	49948
93	5172	49856
94	5224	49767
95	5275	49681
96	5326	49585
97	5374	49468
98	5424	49370
99	5473	49257
100	5523	49163
101	5576	49096
102	5633	49056
103	5686	48990
104	5740	48934
105	5791	48846
106	5841	48751
107	5889	48644
108	5938	48539
109	5986	48434
110	6041	48382
111	6092	48301
112	6144	48228
113	6199	48185
114	6256	48144
115	6311	48096
116	6361	48008
117	6411	47922
118	6459	47825
119	6509	47734
120	6558	47645
121	6609	47564
122	6660	47487
123	6710	47408
124	6760	47325
125	6811	47248
126	6863	47177
127	6914	47103
128	6965	47031
129	7017	46964
130	7068	46887
131	7126	46861
132	7184	46836
133	7236	46764
134	7287	46691
135	7336	46610
136	7386	46530
137	7437	46459
138	7489	46390
139	7541	46323
140	7591	46246
141	7640	46165
142	7687	46070
143	7737	45995
144	7786	45915
145	7841	45867
146	7889	45780
147	7937	45695
148	7986	45613
149	8038	45553
150	8093	45505
151	8143	45434
152	8200	45395
153	8252	45334
154	8303	45268
155	8353	45194
156	8404	45129
157	8455	45059
158	8506	44994
159	8556	44921
160	8608	44859
161	8660	44801
162	8713	44745
163	8765	44681
164	8816	44619
165	8868	44555
166	8918	44487
167	8970	44423
168	9020	44355
169	9071	44291
170	9123	44228
171	9173	44161
172	9223	44091
173	9274	44027
174	9324	43958
175	9374	43890
176	9424	43822
177	9475	43757
178	9528	43701
179	9579	43640
180	9630	43575
181	9682	43518
182	9736	43467
183	9787	43407
184	9837	43340
185	9888	43274
186	9939	43212
187	9992	43157
188	10043	43095
189	10093	43031
190	10144	42968
191	10196	42911
192	10249	42856
193	10300	42795
194	10352	42738
195	10401	42666
196	10449	42595
197	10498	42524
198	10550	42467
199	10599	42396
200	10648	42329
201	10698	42263
202	10748	42198
203	10800	42142
204	10848	42071
205	10898	42006
206	10947	41939
207	10999	41882
208	11053	41832
209	11105	41776
210	11156	41717
211	11207	41657
212	11259	41603
213	11313	41552
214	11364	41495
215	11417	41439
216	11466	41372
217	11516	41311
218	11568	41255
219	11618	41191
220	11666	41124
221	11717	41063
222	11766	40999
223	11818	40944
224	11869	40883
225	11919	40822
226	11970	40761
227	12019	40698
228	12073	40649
229	12140	40643
230	12194	40594
231	12245	40538
232	12296	40477
233	12347	40420
234	12397	40357
235	12447	40295
236	12497	40234
237	12546	40169
238	12595	40105
239	12644	40041
240	12694	39979
241	12743	39915
242	12792	39852
243	12841	39788
244	12891	39726
245	12943	39673
246	12998	39626
247	13052	39579
248	13102	39517
249	13152	39458
250	13201	39392
251	13250	39330
252	13300	39269
253	13351	39213
254	13401	39154
255	13451	39094
256	13503	39038
257	13554	38981
258	13604	38922
259	13653	38861
260	13704	38804
261	13754	38744
262	13805	38687
263	13856	38630
264	13908	38576
265	13959	38520
266	14009	38460
267	14061	38408
268	14113	38352
269	14163	38293
270	14212	38231
271	14261	38171
272	14310	38109
273	14367	38068
274	14421	38020
275	14474	37969
276	14522	37906
277	14570	37841
278	14620	37781
279	14670	37723
280	14719	37663
281	14767	37600
282	14816	37539
283	14865	37477
284	14916	37423
285	14971	37375
286	15028	37335
287	15082	37286
288	15137	37240
289	15194	37199
290	15252	37162
291	15310	37123
292	15365	37077
293	15417	37023
294	15471	36975
295	15524	36923
296	15576	36870
297	15631	36822
298	15685	36774
299	15741	36730
300	15798	36687
301	15847	36627
302	15897	36569
303	15947	36512
304	15997	36452
305	16048	36398
306	16104	36353
307	16160	36309
308	16214	36258
309	16272	36219
310	16324	36165
311	16373	36105
312	16421	36044
313	16471	35986
314	16519	35923
315	16570	35867
316	16620	35811
317	16672	35756
318	16720	35694
319	16770	35636
320	16819	35576
321	16867	35516
322	16917	35458
323	16972	35411
324	17029	35368
325	17077	35306
326	17125	35246
327	17175	35188
328	17223	35127
329	17272	35068
330	17323	35014
331	17378	34966
332	17442	34937
333	17516	34928
334	17575	34889
335	17628	34836
336	17676	34776
337	17725	34716
338	17773	34655
339	17821	34595
340	17870	34536
341	17919	34476
342	17968	34416
343	18016	34357
344	18065	34298
345	18114	34240
346	18170	34194
347	18218	34134
348	18267	34074
349	18316	34015
350	18365	33957
351	18414	33899
352	18464	33842
353	18512	33783
354	18561	33724
355	18611	33667
356	18660	33608
357	18711	33556
358	18760	33496
359	18808	33438
360	18858	33380
361	18908	33324
362	18958	33268
363	19007	33210
364	19056	33152
365	19103	33092
366	19153	33035
367	19201	32976
368	19249	32917
369	19298	32859
370	19347	32801
371	19396	32744
372	19445	32687
373	19494	32630
374	19542	32571
375	19591	32514
376	19639	32454
377	19687	32395
378	19736	32337
379	19784	32280
380	19834	32223
381	19883	32166
382	19933	32111
383	19980	32051
384	20028	31993
385	20077	31937
386	20128	31883
387	20178	31827
388	20228	31773
389	20282	31724
390	20335	31674
391	20393	31631
392	20456	31595
393	20523	31566
394	20585	31529
395	20647	31492
396	20709	31455
397	20763	31406
398	20814	31352
399	20863	31295
400	20912	31237
401	20960	31180
402	21009	31123
403	21058	31066
404	21107	31009
405	21157	30954
